"rules","support","confidence","coverage","lift","count"
"{speechiness_boxcox=-5.7640473578803} => {acousticness_sqrt=0.704982269280583}",0.00536193029490617,1,0.00536193029490617,186.5,2
"{acousticness_sqrt=0.704982269280583} => {speechiness_boxcox=-5.7640473578803}",0.00536193029490617,1,0.00536193029490617,186.5,2
"{acousticness_sqrt=0.403732584763727} => {liveness_boxcox=-2.01338913288522}",0.00536193029490617,1,0.00536193029490617,124.333333333333,2
"{liveness_boxcox=-2.01338913288522} => {acousticness_sqrt=0.403732584763727}",0.00536193029490617,0.666666666666667,0.00804289544235925,124.333333333333,2
"{speechiness_boxcox=-5.7640473578803} => {danceability=0.851}",0.00536193029490617,1,0.00536193029490617,124.333333333333,2
"{danceability=0.851} => {speechiness_boxcox=-5.7640473578803}",0.00536193029490617,0.666666666666667,0.00804289544235925,124.333333333333,2
"{speechiness_boxcox=-5.7640473578803} => {audio_valence=0.844}",0.00536193029490617,1,0.00536193029490617,124.333333333333,2
"{audio_valence=0.844} => {speechiness_boxcox=-5.7640473578803}",0.00536193029490617,0.666666666666667,0.00804289544235925,124.333333333333,2
"{speechiness_boxcox=-5.7640473578803} => {liveness_boxcox=-3.02790032952032}",0.00536193029490617,1,0.00536193029490617,62.1666666666667,2
"{liveness_boxcox=-3.02790032952032} => {speechiness_boxcox=-5.7640473578803}",0.00536193029490617,0.333333333333333,0.0160857908847185,62.1666666666667,2
